mse_accuracy_tgt_no_cv,mape_accuracy_tgt_no_cv,mse_accuracy_tgt_cv,mape_accuracy_tgt_cv,mse_accuracy_trans_no_cv,mape_accuracy_trans_no_cv,mse_accuracy_trans_cv,mape_accuracy_trans_cv
-7351013.512426308,6.6208746509896015,-4289627.288152412,5.322344318907156,-2418789.1504858467,3.5663469073660483,-2418789.1504858467,3.5663469073660448
-2005020.3461346475,3.2128634174378328,-2015833.2969117237,3.145755212892112,-3917805.629566959,2.9775651960342606,-3917805.629566959,1.8172700509688344
-387293.30111849785,1.8881683173052346,-406233.40502302215,1.8796176728939735,-500478.35063999624,1.7766561182912841,-500478.35063999624,1.6350182532411222
-520849.72402945603,2.068832709206895,-498580.86984689353,1.9349241437986762,-498048.66967409657,1.386197592259607,-498048.66967409657,1.386197592259607
-3472690.024966323,4.016617229330913,-2109342.742878524,3.4533452712039834,-6813773.673817814,6.503020602029999,-6813773.673817814,7.00530534599209
-7175850.879610725,5.56605281269902,-6973257.831475997,5.300261971325754,-5617118.079314326,3.084477285819387,-5617118.079314326,3.08447728581939
-3613623.0776551454,3.547940645313629,-2947700.234886121,3.0753892837091583,-4584473.122745939,3.491885940910061,-4584473.122745939,3.491885940910061
-3327877.707442957,4.698356304671718,-1781208.121359278,3.3863786063053807,-2201752.214128604,2.8698518870829828,-2201752.214128604,2.8698518870829828
-4510190.59240945,5.51075659648339,-4581730.8652517125,5.516169603215428,-4505107.28632466,2.698604519038152,-4505107.28632466,2.698604519038152
-205677.7582431202,1.367187354200888,-150240.88317847496,1.1340217532859511,-228798.2037704293,0.9981164771539789,-228798.2037704293,1.8512776492361902
-3787094.290366614,4.4098705850477256,-1404887.8465129498,2.5564231453114155,-2373203.124066039,1.8076233337142609,-2373203.124066039,1.8099955382401378
-203986.40941356646,1.3759913009941256,-150240.88317847496,1.1340217532859513,-186226.72184654005,1.0779317527420906,-186226.72184654005,1.003569409014033
-5081823.280036297,4.924267040758568,-4985618.536456269,4.933539137843042,-2566703.368617717,2.314918342973591,-2566703.368617717,2.31491834297359
-4754924.109222226,5.567517498002639,-2949888.516185188,4.589436566943333,-1213297.0664001876,3.368710111018519,-1213297.0664001876,3.8973617994106156
-827045.9226585923,2.7206712719352195,-802577.1834065239,2.6352996131091553,-899525.3476077114,2.2252197583767046,-899525.3476077114,3.207810820763629
-206707.872328686,1.385686283675958,-150240.88317847493,1.1340217532859513,-201154.123610009,0.990093522234361,-201154.123610009,0.990093522234361
-6138150.089569837,6.093956718703537,-3379459.487453064,4.715658670240434,-4229598.262734963,3.367951916950113,-4229598.262734963,2.926843812313464
-1350106.18563279,3.3199241960628165,-1356610.6523770017,3.2908410985416277,-4509227.318618774,6.079360833077359,-4509227.318618774,6.390561368164321
-6953268.564461541,5.712884484400464,-6780020.307484809,5.7238798425601365,-3174961.0768938903,3.080290440192443,-3174961.0768938903,3.080290440192443
-992692.2444659653,3.045523973214607,-1038497.9301790586,3.0547977821191257,-367475.8878942743,1.3838690964486584,-367475.8878942743,1.2717340954717355
-3264989.3704886003,4.27006937764308,-1404887.84651295,2.556423145311416,-3007819.722049694,2.4364034367904113,-3007819.722049694,2.4364034367904104
-7641356.8029187955,5.134092766195009,-6362226.062185619,5.384712902616406,-4110228.3109788923,2.8392697754103176,-4110228.3109788923,2.8392697754103176
-1034455.9900546727,3.065563690884189,-1034123.1046537522,3.1144245847173533,-660088.5979856639,1.3846219294736943,-660088.5979856639,1.2717623346881888
-4025291.830261094,4.135419679801874,-1805275.7206496787,3.2291488147205922,-1786621.1314158028,1.866532987187487,-1786621.1314158028,1.737789785437862
-770532.2071395654,2.637092268454322,-714171.4436688791,2.5489600582325322,-428807.87930311396,1.9268666867250392,-428807.87930311396,1.9268666867250392

Wilcoxon p value: 0.014722049236297607
Cliff's delta: 0.328
