training_time_pred_20pct_no_cv,training_time_pred_40pct_no_cv,training_time_pred_60pct_no_cv,training_time_pred_80pct_no_cv,training_time_pred_20pct_cv,training_time_pred_40pct_cv,training_time_pred_60pct_cv,training_time_pred_80pct_cv,training_time_trans_20pct_no_cv,training_time_trans_40pct_no_cv,training_time_trans_60pct_no_cv,training_time_trans_80pct_no_cv,training_time_trans_20pct_cv,training_time_trans_40pct_cv,training_time_trans_60pct_cv,training_time_trans_80pct_cv
1,0,1,0,863,862,863,862,1,0,1,0,32,31,32,31
0,0,0,0,850,850,850,850,0,0,0,0,32,32,32,32
0,0,2,0,883,883,885,883,0,0,0,0,31,31,31,31
1,0,1,0,1009,1008,1009,1008,1,0,1,0,38,37,38,37
0,0,0,0,955,955,955,955,0,1,0,1,45,46,45,46
0,0,0,1,901,901,901,902,0,1,1,0,32,33,33,32
1,0,1,0,853,852,853,852,1,0,1,1,31,30,31,31
0,0,0,1,860,860,860,861,0,1,0,1,31,32,31,32
1,0,0,0,841,840,840,840,0,0,0,1,32,32,32,33
0,1,0,0,855,856,855,855,0,1,0,0,32,33,32,32
1,0,0,0,870,869,869,869,1,0,0,0,36,35,35,35
0,0,0,0,867,867,867,867,0,0,1,0,55,55,56,55
0,0,0,0,1113,1113,1113,1113,0,0,0,0,34,34,34,34
0,0,0,0,917,917,917,917,1,0,0,1,32,31,31,32
1,0,0,1,844,843,843,844,0,0,0,0,31,31,31,31
0,0,1,0,823,823,824,823,1,0,0,0,31,30,30,30
0,0,0,0,827,827,827,827,0,0,1,0,31,31,32,31
0,0,0,1,847,847,847,848,0,1,0,0,32,33,32,32
0,1,0,0,829,830,829,829,0,0,0,0,31,31,31,31
0,0,0,0,824,824,824,824,1,0,0,1,31,30,30,31
0,1,0,0,825,826,825,825,0,0,0,0,31,31,31,31
0,0,1,0,828,828,829,828,1,0,0,0,31,30,30,30
0,0,1,0,839,839,840,839,0,0,0,0,31,31,31,31
1,0,0,1,837,836,836,837,0,0,0,1,31,31,31,32
1,0,0,0,828,827,827,827,1,0,0,1,31,30,30,31

Wilcoxon p value CV: 5.960464477539063e-08
Cliff's delta CV: 1.0
Wilcoxon p value no CV: 0.31731050786291415
Cliff's delta no CV: 0.12
