training_time_pred_20pct_no_cv,training_time_pred_40pct_no_cv,training_time_pred_60pct_no_cv,training_time_pred_80pct_no_cv,training_time_pred_20pct_cv,training_time_pred_40pct_cv,training_time_pred_60pct_cv,training_time_pred_80pct_cv,training_time_trans_20pct_no_cv,training_time_trans_40pct_no_cv,training_time_trans_60pct_no_cv,training_time_trans_80pct_no_cv,training_time_trans_20pct_cv,training_time_trans_40pct_cv,training_time_trans_60pct_cv,training_time_trans_80pct_cv
1,0,1,1,933,932,933,933,0,0,0,0,31,31,31,31
1,0,1,1,937,936,937,937,1,0,0,0,32,31,31,31
0,0,1,1,962,962,963,963,0,0,0,1,29,29,29,30
0,0,1,1,916,916,917,917,0,0,0,0,31,31,31,31
1,1,1,1,934,934,934,934,1,0,0,0,36,35,35,35
0,1,0,0,982,983,982,982,0,1,0,0,32,33,32,32
0,0,1,1,941,941,942,942,0,0,0,0,31,31,31,31
0,1,0,1,912,913,912,913,0,0,0,0,30,30,30,30
0,1,0,0,913,914,913,913,0,0,0,0,30,30,30,30
1,0,1,1,914,913,914,914,0,0,0,1,30,30,30,31
0,1,0,0,938,939,938,938,0,0,0,0,29,29,29,29
0,0,0,1,941,941,941,942,0,0,0,0,29,29,29,29
0,0,1,0,909,909,910,909,0,0,1,1,30,30,31,31
0,1,0,0,911,912,911,911,0,1,0,0,29,30,29,29
1,0,1,1,917,916,917,917,1,0,0,0,30,29,29,29
0,1,0,0,913,914,913,913,0,1,0,0,29,30,29,29
0,1,1,1,913,914,914,914,0,0,1,1,32,32,33,33
1,1,1,1,1019,1019,1019,1019,0,0,0,0,44,44,44,44
0,1,0,1,1116,1117,1116,1117,0,1,0,1,29,30,29,30
1,0,0,1,916,915,915,916,1,0,0,0,31,30,30,30
1,0,0,1,989,988,988,989,1,0,0,0,31,30,30,30
1,0,1,1,920,919,920,920,1,0,1,0,31,30,31,30
0,1,0,0,912,913,912,912,0,1,0,0,30,31,30,30
0,0,1,1,922,922,923,923,0,0,0,0,31,31,31,31
0,0,1,1,913,913,914,914,0,0,1,1,31,31,32,32


Wilcoxon p value for transfer vs predictor w/ optimisation: 5.960464477539063e-08


Cliff's delta for transfer vs predictor w/ optimisation: 1.0


Wilcoxon p value for transfer dataset sizes: 
,20%,40%,60%,80%
20%,,0.763024600552995,0.47950012218695337,1.0
40%,0.763024600552995,,0.7388826803635273,0.7388826803635273
60%,0.47950012218695337,0.7388826803635273,,0.31731050786291415
80%,1.0,0.7388826803635273,0.31731050786291415,


Cliff's delta for transfer dataset sizes: 
,20%,40%,60%,80%
20%,,0.04,0.08,0.0
40%,0.04,,0.04,0.04
60%,0.08,0.04,,0.08
80%,0.0,0.04,0.08,
