training_time_pred_20pct_no_cv,training_time_pred_40pct_no_cv,training_time_pred_60pct_no_cv,training_time_pred_80pct_no_cv,training_time_pred_20pct_cv,training_time_pred_40pct_cv,training_time_pred_60pct_cv,training_time_pred_80pct_cv,training_time_trans_20pct_no_cv,training_time_trans_40pct_no_cv,training_time_trans_60pct_no_cv,training_time_trans_80pct_no_cv,training_time_trans_20pct_cv,training_time_trans_40pct_cv,training_time_trans_60pct_cv,training_time_trans_80pct_cv
1,0,0,1,828,827,827,828,0,1,0,0,32,33,32,32
0,0,0,1,823,823,823,824,1,0,0,0,32,31,31,31
0,0,0,0,823,823,823,823,0,0,1,0,30,30,31,30
0,0,0,1,824,824,824,825,1,0,0,0,31,30,30,30
0,0,0,0,819,819,819,819,0,0,0,0,30,30,30,30
1,0,0,1,824,823,823,824,0,0,0,0,30,30,30,30
0,0,0,0,829,829,829,829,0,1,0,0,30,31,30,30
0,0,1,0,832,832,833,832,0,0,0,0,30,30,30,30
0,0,1,0,846,846,847,846,0,0,0,0,30,30,30,30
1,0,0,1,838,837,837,838,0,0,0,1,31,31,31,32
0,0,0,0,826,826,826,826,0,1,0,0,31,32,31,31
0,0,0,0,839,839,839,839,0,0,0,1,32,32,32,33
0,0,0,0,844,844,844,844,0,0,0,0,32,32,32,32
0,0,0,1,836,836,836,837,1,0,0,0,31,30,30,30
0,0,0,0,830,830,830,830,0,0,1,0,31,31,32,31
1,0,0,1,836,835,835,836,1,0,0,0,31,30,30,30
0,0,0,0,826,826,826,826,1,0,0,1,31,30,30,31
1,0,0,1,837,836,836,837,0,0,0,0,30,30,30,30
0,0,0,1,834,834,834,835,1,0,0,0,32,31,31,31
0,0,0,0,838,838,838,838,1,0,0,1,31,30,30,31
0,0,1,0,833,833,834,833,0,0,1,0,30,30,31,30
0,0,0,0,834,834,834,834,0,0,1,0,30,30,31,30
1,0,0,1,836,835,835,836,0,0,0,0,30,30,30,30
0,0,0,0,834,834,834,834,0,1,0,0,31,32,31,31
0,0,0,0,904,904,904,904,0,0,1,0,31,31,32,31

Wilcoxon p value CV: 5.960464477539063e-08
Cliff's delta CV: 1.0
Wilcoxon p value no CV: 0.0832645166635504
Cliff's delta no CV: 0.24
